instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2017-01-01,1,0,1,0,6,0,2,0.24,0.2879,0.81,0.0,331,654,985
2,2017-01-02,1,0,1,0,0,1,2,0.22,0.2727,0.80,0.0,131,670,801
3,2017-01-03,1,0,1,0,1,1,1,0.26,0.3031,0.77,0.0,120,1229,1349
4,2017-01-04,1,0,1,0,2,1,1,0.26,0.3031,0.74,0.0,108,1454,1562
5,2017-01-05,1,0,1,0,3,1,2,0.20,0.2379,0.76,0.0,82,1518,1600
6,2017-01-06,1,0,1,0,4,1,2,0.52,0.4848,0.76,0.1,50,1518,1568
7,2017-01-07,1,0,1,0,5,0,3,0.39,0.3939,0.81,0.0,48,1206,1254
8,2017-01-08,1,0,1,0,6,0,1,0.26,0.3031,0.76,0.0,591,1123,1714
9,2017-01-09,1,0,1,0,0,1,1,0.20,0.2379,0.82,0.0,590,1404,1994
10,2017-01-10,1,0,1,0,1,1,2,0.26,0.3031,0.82,0.0,540,1518,2058
11,2017-01-11,1,0,1,0,2,1,1,0.15,0.1970,0.76,0.1,464,1735,2199
12,2017-01-12,1,0,1,0,3,1,1,0.30,0.3485,0.75,0.0,423,1883,2306
13,2017-01-13,1,0,1,0,4,1,2,0.38,0.3636,0.81,0.0,352,2011,2363
14,2017-01-14,1,0,1,0,5,0,3,0.39,0.3939,0.83,0.0,426,1504,1930
15,2017-01-15,1,0,1,0,6,0,1,0.35,0.3333,0.80,0.1,492,1539,2031
16,2017-01-16,1,0,1,0,0,1,1,0.27,0.3182,0.79,0.0,501,1903,2404
17,2017-01-17,1,0,1,0,1,1,1,0.20,0.2424,0.77,0.0,537,2087,2624
18,2017-01-18,1,0,1,0,2,1,1,0.35,0.3939,0.77,0.0,544,2246,2790
19,2017-01-19,1,0,1,0,3,1,1,0.40,0.4394,0.79,0.0,551,2367,2918
20,2017-01-20,1,0,1,0,4,1,2,0.42,0.4545,0.78,0.0,537,2396,2933
21,2017-01-21,1,0,1,0,5,0,2,0.41,0.4545,0.79,0.0,426,1982,2408
22,2017-01-22,1,0,1,0,6,0,1,0.32,0.3334,0.80,0.0,492,2032,2524
23,2017-01-23,1,0,1,0,0,1,1,0.45,0.4697,0.76,0.0,530,2299,2829
24,2017-01-24,1,0,1,0,1,1,1,0.45,0.4697,0.74,0.0,545,2446,2991
25,2017-01-25,1,0,1,0,2,1,1,0.47,0.4848,0.72,0.0,548,2575,3123
26,2017-01-26,1,0,1,0,3,1,3,0.45,0.4697,0.82,0.0,467,2347,2814
27,2017-01-27,1,0,1,0,4,1,2,0.47,0.4848,0.79,0.0,502,2393,2895
28,2017-01-28,1,0,1,0,5,0,1,0.44,0.4545,0.77,0.0,524,2164,2688
29,2017-01-29,1,0,1,0,6,0,1,0.43,0.4394,0.77,0.0,529,2086,2615
30,2017-01-30,1,0,1,0,0,1,2,0.43,0.4394,0.80,0.0,438,2277,2715
31,2017-01-31,1,0,1,0,1,1,1,0.44,0.4545,0.75,0.0,469,2538,3007
32,2017-02-01,1,0,2,0,2,1,2,0.42,0.4545,0.81,0.0,439,2444,2883
33,2017-02-02,1,0,2,0,3,1,2,0.44,0.4545,0.80,0.1,456,2406,2862
34,2017-02-03,1,0,2,0,4,1,2,0.45,0.4697,0.79,0.0,422,2492,2914
35,2017-02-04,1,0,2,0,5,0,2,0.40,0.4394,0.79,0.0,445,1883,2328
36,2017-02-05,1,0,2,0,6,0,4,0.41,0.4545,0.91,0.0,350,1389,1739
37,2017-02-06,1,0,2,0,0,1,3,0.43,0.4394,0.85,0.0,332,2122,2454
38,2017-02-07,1,0,2,0,1,1,2,0.49,0.5000,0.79,0.1,446,2595,3041
39,2017-02-08,1,0,2,0,2,1,1,0.50,0.5151,0.76,0.0,460,2745,3205
40,2017-02-09,1,0,2,0,3,1,1,0.50,0.5151,0.74,0.0,451,2874,3325
41,2017-02-10,1,0,2,0,4,1,2,0.49,0.5000,0.80,0.0,451,2842,3293
42,2017-02-11,1,0,2,0,5,0,2,0.44,0.4545,0.78,0.0,438,2128,2566
43,2017-02-12,1,0,2,0,6,0,1,0.33,0.3485,0.76,0.0,480,1942,2422
44,2017-02-13,1,0,2,0,0,1,1,0.42,0.4394,0.75,0.0,491,2697,3188
45,2017-02-14,1,0,2,0,1,1,2,0.48,0.4848,0.80,0.0,398,2715,3113
46,2017-02-15,1,0,2,0,2,1,1,0.50,0.5151,0.77,0.0,395,2864,3259
47,2017-02-16,1,0,2,0,3,1,1,0.50,0.5151,0.74,0.0,407,2851,3258
48,2017-02-17,1,0,2,0,4,1,2,0.48,0.4848,0.80,0.0,391,2812,3203
49,2017-02-18,1,0,2,0,5,0,2,0.42,0.4394,0.78,0.0,461,2113,2574
50,2017-02-19,1,0,2,0,6,0,3,0.33,0.3485,0.85,0.0,318,1520,1838
51,2017-02-20,1,0,2,0,0,1,2,0.42,0.4394,0.81,0.0,405,2493,2898
52,2017-02-21,1,0,2,0,1,1,1,0.48,0.4848,0.76,0.0,422,2921,3343
53,2017-02-22,1,0,2,0,2,1,1,0.50,0.5151,0.74,0.0,450,3024,3474
54,2017-02-23,1,0,2,0,3,1,1,0.50,0.5151,0.72,0.1,441,3103,3544
55,2017-02-24,1,0,2,0,4,1,2,0.48,0.4848,0.80,0.0,416,3070,3486
56,2017-02-25,1,0,2,0,5,0,2,0.42,0.4394,0.79,0.0,458,2147,2605
57,2017-02-26,1,0,2,0,6,0,1,0.31,0.3182,0.76,0.0,495,1965,2460
58,2017-02-27,1,0,2,0,0,1,1,0.42,0.4394,0.76,0.0,510,2745,3255
59,2017-02-28,1,0,2,0,1,1,1,0.48,0.4848,0.75,0.0,514,2874,3388
60,2017-03-01,1,0,3,0,2,1,1,0.50,0.5151,0.73,0.0,527,3065,3592
61,2017-03-02,2,0,3,0,3,1,1,0.50,0.5151,0.70,0.1,531,3149,3680
62,2017-03-03,2,0,3,0,4,1,2,0.48,0.4848,0.79,0.0,518,3094,3612
63,2017-03-04,2,0,3,0,5,0,2,0.42,0.4394,0.78,0.0,489,2314,2803
64,2017-03-05,2,0,3,0,6,0,2,0.35,0.3636,0.82,0.0,435,2004,2439
65,2017-03-06,2,0,3,0,0,1,1,0.48,0.4848,0.76,0.0,506,3023,3529
66,2017-03-07,2,0,3,0,1,1,1,0.52,0.5303,0.73,0.0,515,3249,3764
67,2017-03-08,2,0,3,0,2,1,1,0.54,0.5455,0.71,0.0,540,3393,3933
68,2017-03-09,2,0,3,0,3,1,1,0.55,0.5606,0.68,0.0,545,3512,4057
69,2017-03-10,2,0,3,0,4,1,2,0.53,0.5303,0.79,0.0,511,3447,3958
70,2017-03-11,2,0,3,0,5,0,2,0.47,0.4848,0.77,0.0,502,2573,3075
71,2017-03-12,2,0,3,0,6,0,2,0.38,0.3939,0.81,0.0,432,2209,2641
72,2017-03-13,2,0,3,0,0,1,1,0.51,0.5152,0.74,0.0,527,3287,3814
73,2017-03-14,2,0,3,0,1,1,1,0.57,0.5758,0.70,0.0,562,3545,4107
74,2017-03-15,2,0,3,0,2,1,1,0.59,0.5909,0.68,0.0,579,3642,4221
75,2017-03-16,2,0,3,0,3,1,1,0.60,0.6061,0.66,0.1,588,3748,4336
76,2017-03-17,2,0,3,0,4,1,2,0.58,0.5909,0.77,0.0,549,3638,4187
77,2017-03-18,2,0,3,0,5,0,2,0.52,0.5303,0.76,0.0,525,2748,3273
78,2017-03-19,2,0,3,0,6,0,2,0.43,0.4545,0.80,0.0,468,2389,2857
79,2017-03-20,2,0,3,0,0,1,1,0.54,0.5455,0.73,0.0,561,3537,4098
80,2017-03-21,2,0,3,0,1,1,1,0.60,0.6061,0.70,0.0,590,3748,4338
81,2017-03-22,2,0,3,0,2,1,1,0.62,0.6212,0.68,0.0,607,3856,4463
82,2017-03-23,3,0,3,0,3,1,2,0.60,0.6061,0.76,0.0,578,3767,4345
83,2017-03-24,3,0,3,0,4,1,3,0.53,0.5303,0.84,0.1,502,3456,3958
84,2017-03-25,3,0,3,0,5,0,2,0.47,0.4848,0.78,0.0,512,2612,3124
85,2017-03-26,3,0,3,0,6,0,2,0.38,0.3939,0.81,0.0,456,2265,2721
86,2017-03-27,3,0,3,0,0,1,1,0.54,0.5455,0.72,0.0,568,3598,4166
87,2017-03-28,3,0,3,0,1,1,1,0.60,0.6061,0.69,0.0,599,3842,4441
88,2017-03-29,3,0,3,0,2,1,1,0.62,0.6212,0.67,0.0,618,3961,4579
89,2017-03-30,3,0,3,0,3,1,1,0.64,0.6364,0.65,0.0,634,4069,4703
90,2017-03-31,3,0,3,0,4,1,3,0.58,0.5909,0.80,0.0,563,3801,4364
91,2017-04-01,3,0,4,0,5,0,2,0.52,0.5303,0.77,0.0,536,2856,3392
92,2017-04-02,3,0,4,0,6,0,2,0.43,0.4545,0.81,0.0,479,2471,2950
93,2017-04-03,3,0,4,0,0,1,1,0.55,0.5606,0.72,0.0,580,3698,4278
94,2017-04-04,3,0,4,0,1,1,1,0.61,0.6212,0.69,0.0,612,3847,4459
95,2017-04-05,3,0,4,0,2,1,1,0.63,0.6364,0.67,0.0,631,3967,4598
96,2017-04-06,3,0,4,0,3,1,1,0.65,0.6515,0.65,0.1,651,4087,4738
97,2017-04-07,3,0,4,0,4,1,2,0.59,0.5909,0.76,0.0,586,3912,4498
98,2017-04-08,3,0,4,0,5,0,2,0.53,0.5303,0.76,0.0,545,2923,3468
99,2017-04-09,3,0,4,0,6,0,2,0.44,0.4545,0.80,0.0,486,2542,3028
100,2017-04-10,3,0,4,0,0,1,1,0.56,0.5758,0.71,0.0,592,3759,4351